Comment,Designator,Footprint,LCSC
500mA,"F1,F10,F11,F12,F13,F14,F2,F3,F4,F5,F6,F7,F8,F9",Fuse_1206_3216Metric,C135342
1M,"R1,R12,R13,R15,R20,R23,R25,R26,R35,R36,R39,R4,R42,R9",R_0805_2012Metric,C17514
5.1k,"R10,R11,R14,R16,R17,R18,R19,R2,R21,R22,R24,R27,R28,R29,R3,R30,R31,R32,R33,R34,R37,R38,R40,R41,R5,R6,R7,R8",R_0603_1608Metric,C23186
Conn_01x04,"J1,J10,J11,J12,J13,J14,J2,J3,J4,J5,J6,J7,J8,J9",JST-SR-4,C2845363
4.7n,"C1,C10,C11,C12,C13,C14,C2,C3,C4,C5,C6,C7,C8,C9",C_0603_1608Metric,C53987
HRO-TYPE-C-31-M-12,"U1,U10,U11,U12,U13,U14,U2,U3,U4,U5,U6,U7,U8,U9",HRO-TYPE-C-31-M-12,C165948
Mount-M2,MH2,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH1,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH13,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH26,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH19,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH10,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH3,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH18,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH28,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH25,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH22,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH6,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH21,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH20,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH16,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH12,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH5,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH11,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH7,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH4,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH17,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH8,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH24,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH9,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH23,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH27,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH15,MountingHole_3.2mm_M3_Pad_Via,
Mount-M2,MH14,MountingHole_3.2mm_M3_Pad_Via,
